"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"X1";"Badgelife-SAOv169-SAO_Side_B.SLK";1;"sao_v169bis";;;
2;"G***";"NG_B.Cu";1;"NG_BSilk_B.Cu";;;
3;"G***";"F.Cu_g4806";1;"LOGO";;;
4;"D9,D6,D8,D5,D4,D7";"LED_Osram_Lx_P47F_D2mm_ReverseMount_Proper_Mask Only";6;"LED";;;
5;"G***,G***,G***,G***";"LOGO";4;"LOGO";;;
6;"G***";"F.Mask_g4808";1;"LOGO";;;
7;"G***";"JustWords_FC";1;"LOGO";;;
8;"G***";"FG_B.Cu";1;"fg";;;
9;"G***";"BPSkull_Distressed_B.SILK";1;"BP Logo";;;
10;"G***";"BadgePiratesURL_B.SLK";1;"LOGO";;;
11;"G***";"F.SilkS_g4810";1;"LOGO";;;
12;"D10";"LED_RGB_1210";1;"LED";;;
13;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"JTAG";;;
14;"REF**,REF**,REF**";"Fiducial_0.5mm_Mask1mm";3;"Fiducial_0.5mm_Mask1mm";;;
15;"SW_Reset1";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"Reset";;;
16;"R2,R5";"R_1206_3216Metric";2;"1k";;;
17;"SW5";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_Center";;;
18;"D3";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"STATUS";;;
19;"D11";"SOT-23";1;"PESD";;;
20;"SW6";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_Up";;;
21;"J1";"TestPoint_Pad_D2.0mm x2";1;"UART";;;
22;"J4";"TestPoint_Pad_D2.0mm x2";1;"5v GND";;;
23;"SW4";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_Right";;;
24;"J3";"TestPoint_Pad_D2.0mm x2";1;"Reset Jumper";;;
25;"SW7";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_Down";;;
26;"D2";"LED_1206_3216Metric";1;"Charging";;;
27;"C5";"C_0805_2012Metric";1;"1uF";;;
28;"RN2,RN1";"R_Array_Convex_4x0603";2;"1k_Array";;;
29;"OLED1";"PinHeader_1x04_P2.54mm_Vertical";1;"OLED";;;
30;"C3,C8,C2,C6,C1";"C_0805_2012Metric";5;"0.1uF";;;
31;"R6";"R_1206_3216Metric";1;"0";;;
32;"SW3";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_Left";;;
33;"F1";"R_1206_3216Metric";1;"Fuse";;;
34;"SW1";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"Boot";;;
35;"R10,R8";"R_1206_3216Metric";2;"5.1k";;;
36;"U2";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
37;"U1";"SOIC-8-1EP_W3.9mm";1;"CH340N";;;
38;"J5";"TestPoint_Pad_D2.0mm x2";1;"Boot Jumper";;;
39;"C7";"C_0805_2012Metric";1;"22uF";;;
40;"1/0";"SW_SPDT_PCM12";1;"SW_SPDT";;;
41;"U4";"LTC4054";1;"LTC4054";;;
42;"R12";"R_1206_3216Metric";1;"1M";;;
43;"C4";"CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder";1;"100uF";;;
44;"BT1";"Battery - 14500";1;"Battery";;;
45;"D1";"R_1206_3216Metric";1;"Pwr";;;
46;"R1";"R_1206_3216Metric";1;"10k";;;
47;"R3";"R_1206_3216Metric";1;"330";;;
48;"J6";"USB_C_Receptical-Jing";1;"USB";;;
49;"U3";"SOT-223";1;"TLV1117";;;
50;"R4";"R_1206_3216Metric";1;"2k";;;
