"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D9,D8,D7,D6,D5,D4";"LED_Osram_Lx_P47F_D2mm_ReverseMount_Proper_Mask Only";6;"LED";;;
2;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"JTAG";;;
3;"G***,G***,G***,G***,G***,G***,G***,G***";"LOGO";8;"LOGO";;;
4;"SW5";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_Center";;;
5;"SW6";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_Up";;;
6;"SW4";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_Right";;;
7;"SW7";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_Down";;;
8;"SW3";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_Left";;;
9;"D10";"LED_RGB_1210";1;"LED";;;
10;"X1";"Badgelife-SAOv169-SAO_Side_B.SLK";1;"sao_v169bis";;;
11;"G***";"NG_B.Cu";1;"NG_BSilk_B.Cu";;;
12;"G***";"FG_B.Cu";1;"fg";;;
13;"G***";"BPSkull_Distressed_B.SILK";1;"BP Logo";;;
14;"G***";"BadgePiratesURL_B.SLK";1;"LOGO";;;
15;"SW_Reset1";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"Reset";;;
16;"R2,R5";"R_1206_3216Metric";2;"1k";;;
17;"D3";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"STATUS";;;
18;"D11";"SOT-23";1;"PESD2USB3UV-TR";;;
19;"J1";"TestPoint_Pad_D2.0mm x2";1;"UART";;;
20;"J4";"TestPoint_Pad_D2.0mm x2";1;"5v GND";;;
21;"J3";"TestPoint_Pad_D2.0mm x2";1;"Reset Jumper";;;
22;"D2";"LED_1206_3216Metric";1;"Charging";;;
23;"C5";"C_0805_2012Metric";1;"1uF";;;
24;"RN2,RN1";"R_Array_Convex_4x0603";2;"1k_Array";;;
25;"OLED1";"PinHeader_1x04_P2.54mm_Vertical";1;"OLED";;;
26;"C3,C8,C2,C6,C1";"C_0805_2012Metric";5;"0.1uF";;;
27;"R6";"R_1206_3216Metric";1;"0";;;
28;"F1";"R_1206_3216Metric";1;"Fuse";;;
29;"SW1";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"Boot";;;
30;"R10,R8";"R_1206_3216Metric";2;"5.1k";;;
31;"U2";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
32;"U1";"SOIC-8-1EP_W3.9mm";1;"CH340N";;;
33;"J5";"TestPoint_Pad_D2.0mm x2";1;"Boot Jumper";;;
34;"C7";"C_0805_2012Metric";1;"22uF";;;
35;"SW2";"SW_SPDT_PCM12";1;"SW_SPDT";;;
36;"U4";"LTC4054";1;"LTC4054";;;
37;"R12";"R_1206_3216Metric";1;"1M";;;
38;"C4";"CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder";1;"100uF";;;
39;"BT1";"Battery - 14500";1;"Battery";;;
40;"D1";"R_1206_3216Metric";1;"Pwr";;;
41;"R1";"R_1206_3216Metric";1;"10k";;;
42;"R3";"R_1206_3216Metric";1;"330";;;
43;"J6";"USB_C_Receptical-Jing";1;"USB_C_Plug_USB2.0";;;
44;"U3";"SOT-223";1;"TLV1117-33";;;
45;"R4";"R_1206_3216Metric";1;"2k";;;
